toko,kategori,nama_produk,harga,harga_original,harga_member,diskon,rating,jumlah_review,jumlah_terjual,lokasi,brand,url_produk,url_gambar,tanggal_scraping,halaman
Watsons,Facial,WATSONS Watsons True Colour Red Apple Cheek & Lip 15ml,29900,59900.0,,50.0,,0.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-watsons-true-colour-red-apple-cheek-lip-15ml/p/BP_39085,,2026-05-07,1
Watsons,Facial,WATSONS Watsons True Colour Pink Cherry Cheek & Lip 15ml,28900,57500.0,,50.0,,0.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-watsons-true-colour-pink-cherry-cheek-lip-15ml/p/BP_39086,,2026-05-07,1
Watsons,Facial,WATSONS Watsons Baby Tint Glow Coral Rose Lip Balm SPF15 3.9g,29900,59900.0,,50.0,,0.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-watsons-baby-tint-glow-coral-rose-lip-balm-spf15-3.9g/p/BP_41962,,2026-05-07,1
Watsons,Facial,WATSONS Watsons Micellar Cleansing Wipes Deep Cleanse 20'S,12500,29900.0,,55.0,5.0,67.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-watsons-micellar-cleansing-wipes-deep-cleanse-20-s/p/BP_41774,,2026-05-07,1
Watsons,Facial,WATSONS Watsons Micellar Cleansing Wipes Gentle 20'S,12500,29900.0,,55.0,5.0,40.0,,Indonesia,WATSONS,https://www.watsons.co.id/id/watsons-watsons-micellar-cleansing-wipes-gentle-20-s/p/BP_41772,,2026-05-07,1
Watsons,Facial,WATER 360 Mineral Spring UV Day Protector 50ml,91900,153900.0,87305.0,40.0,5.0,4.0,,Indonesia,WATER,https://www.watsons.co.id/id/water-360-mineral-spring-uv-day-protector-50ml/p/BP_26566,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,1
Watsons,Facial,OVALE Facial Lotion Lemon 200ml,37500,,,,,0.0,,Indonesia,OVALE,https://www.watsons.co.id/id/ovale-facial-lotion-lemon-200ml/p/BP_27281,,2026-05-07,1
Watsons,Facial,INEZ Lightweight Facial Foam 75g,42000,,,,,0.0,,Indonesia,INEZ,https://www.watsons.co.id/id/inez-lightweight-facial-foam-75g/p/BP_61291,,2026-05-07,1
Watsons,Facial,INEZ Oilfree Facial Foam 75g,42000,,,,,0.0,,Indonesia,INEZ,https://www.watsons.co.id/id/inez-oilfree-facial-foam-75g/p/BP_61290,,2026-05-07,1
Watsons,Facial,CLEAN & CLEAR Foaming Facial Wash 50ml,22900,,,,5.0,8.0,,Indonesia,CLEAN,https://www.watsons.co.id/id/clean-clear-foaming-facial-wash-50ml/p/BP_41734,,2026-05-07,1
Watsons,Facial,OVALE Facial Lotion Whiten 200M,37500,,,,5.0,10.0,,Indonesia,OVALE,https://www.watsons.co.id/id/ovale-facial-lotion-whiten-200m/p/BP_92099,,2026-05-07,1
Watsons,Facial,BC SKIN Rose Refreshing Facial Wash 100ml,28000,,,,,0.0,,Indonesia,BC,https://www.watsons.co.id/id/bc-skin-rose-refreshing-facial-wash-100ml/p/BP_74453,,2026-05-07,1
Watsons,Facial,VOTRE PEAU Herbal Lavender Facial Cleanser 100 ml,185000,,,,5.0,1.0,,Indonesia,VOTRE,https://www.watsons.co.id/id/votre-peau-herbal-lavender-facial-cleanser-100-ml/p/BP_28519,,2026-05-07,1
Watsons,Facial,INEZ Acne Care Facial Wash 75g,50000,,,,,0.0,,Indonesia,INEZ,https://www.watsons.co.id/id/inez-acne-care-facial-wash-75g/p/BP_61293,,2026-05-07,1
Watsons,Facial,GLAD2GLOW Glycolic Acid Facial Wash 70g,32300,39000.0,,,5.0,1.0,,Indonesia,GLAD2GLOW,https://www.watsons.co.id/id/glad2glow-glycolic-acid-facial-wash-70g/p/BP_74457,,2026-05-07,1
Watsons,Facial,INEZ Exclusive All Day Facial Moisturizer 30g,58600,69000.0,,15.0,,0.0,,Indonesia,INEZ,https://www.watsons.co.id/id/inez-exclusive-all-day-facial-moisturizer-30g/p/BP_61298,,2026-05-07,1
Watsons,Facial,BLESS Bless Acne Gentle Facial Wash 100ml,129000,,,,,0.0,,Indonesia,BLESS,https://www.watsons.co.id/id/bless-bless-acne-gentle-facial-wash-100ml/p/BP_37482,,2026-05-07,1
Watsons,Facial,VOTRE PEAU Saharan Snow Drop Facial Emulsion 15 ml,165000,,,,,0.0,,Indonesia,VOTRE,https://www.watsons.co.id/id/votre-peau-saharan-snow-drop-facial-emulsion-15-ml/p/BP_28532,,2026-05-07,1
Watsons,Facial,ACNAWAY Mugwort Gel Facial Wash 100ml,36000,43500.0,32400.0,10.0,,0.0,,Indonesia,ACNAWAY,https://www.watsons.co.id/id/acnaway-mugwort-gel-facial-wash-100ml/p/BP_74588,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,1
Watsons,Facial,INEZ Skin Clarifying Facial Foam 75g,52000,,,,,0.0,,Indonesia,INEZ,https://www.watsons.co.id/id/inez-skin-clarifying-facial-foam-75g/p/BP_61292,,2026-05-07,1
Watsons,Facial,POISE Poise Anti Bacterial Facial Foam 100g,18900,31500.0,17955.0,25.0,5.0,17.0,,Indonesia,POISE,https://www.watsons.co.id/id/poise-poise-anti-bacterial-facial-foam-100g/p/BP_51450,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,1
Watsons,Facial,GARNIER Bright Complete Anti-Acne Facial Foam 100ml,47900,,,,5.0,8.0,,Indonesia,GARNIER,https://www.watsons.co.id/id/garnier-bright-complete-anti-acne-facial-foam-100ml/p/BP_27565,,2026-05-07,1
Watsons,Facial,SPASCRIPTIONS Facial Cleansing Power Brush,249900,,,,,0.0,,Indonesia,SPASCRIPTIONS,https://www.watsons.co.id/id/spascriptions-facial-cleansing-power-brush/p/BP_18623,,2026-05-07,1
Watsons,Facial,PONDS Clear Solutions Facial Scrub 100gr,42000,52500.0,39900.0,20.0,5.0,7.0,,Indonesia,PONDS,https://www.watsons.co.id/id/ponds-clear-solutions-facial-scrub-100gr/p/BP_55903,https://www.watsons.co.id/assets/img/share/member_price_new_icon.svg,2026-05-07,1
